Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
IL;70338; Patsch                ;13.676;15.133;14.002;13.831;10.855;9.434;6.923;7.950;6.892;6.819;8.250;8.624;8.298;9.011;7.765;6.121;6.094;8.817;8.121;9.152;7.708;1.206;4.965;6.205;;;;;
IL;70339; Pettnau               ;2.309;2.275;2.078;2.422;2.294;2.314;2.230;3.076;3.163;3.046;2.786;3.393;3.436;3.294;2.476;2.371;1.915;2.323;2.656;3.625;2.492;734;2.628;2.935;;;;;
IL;70340; Pfaffenhofen          ;4.652;5.266;5.511;4.940;5.177;4.229;4.878;4.253;4.020;3.962;3.880;4.192;3.751;2.764;1.986;1.961;3.539;4.056;3.736;3.697;1.151;627;630;502;;;;;
IL;70342; Polling in Tirol      ;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;15;0;0;0;0;0;0;;;;;
IL;70343; Ranggen               ;402;237;374;301;234;359;716;686;761;538;253;266;182;110;119;0;0;0;60;25;100;0;0;0;;;;;
IL;70344; Reith bei Seefeld     ;90.218;90.256;80.533;66.976;75.198;80.787;76.343;69.382;78.974;74.776;81.935;48.063;48.323;48.072;49.608;49.951;93.679;91.218;97.315;84.842;80.848;1.965;38.451;77.294;;;;;
IL;70345; Rinn                  ;12.619;14.062;14.952;16.603;15.880;14.141;15.369;19.006;13.457;11.808;12.648;10.880;12.023;7.320;6.055;3.810;2.606;2.521;2.963;2.260;2.329;499;2.078;2.144;;;;;
IL;70346; Rum                   ;8.605;9.605;10.454;11.514;13.148;18.392;18.106;19.205;18.870;17.347;17.844;16.817;19.104;19.583;18.399;20.450;20.968;21.992;21.252;22.483;19.259;7.071;13.821;19.258;;;;;
IL;70347; St.Sigmund/Sellrain   ;26.629;26.135;25.821;26.413;26.458;24.326;23.282;21.697;21.477;20.766;21.821;19.571;19.294;22.175;20.522;21.625;21.930;20.002;22.801;20.555;14.979;1.261;15.404;17.453;;;;;
IL;70348; Scharnitz             ;18.432;19.032;17.843;16.465;16.655;16.339;16.341;15.001;17.023;16.672;17.725;16.440;16.830;19.771;18.253;20.925;18.759;20.159;22.480;25.187;20.218;1.811;12.504;16.466;;;;;
IL;70349; Schmirn               ;3.074;3.502;3.758;4.330;4.411;3.865;4.447;3.997;4.614;4.431;4.053;3.797;3.743;4.361;3.484;3.399;3.790;3.657;5.037;8.059;6.858;621;6.719;7.197;;;;;
IL;70350; Schönberg/Stubaital   ;18.347;19.925;19.378;20.812;21.803;20.207;17.676;15.876;19.847;17.165;15.843;15.505;12.012;11.780;11.493;12.804;13.434;13.501;13.610;12.489;11.234;422;9.987;13.866;;;;;
IL;70351; Seefeld in Tirol      ;573.114;593.165;564.385;531.880;530.716;558.658;526.848;506.788;509.258;494.516;493.732;479.684;486.611;525.744;497.637;515.687;531.524;514.914;544.996;526.457;470.063;8.481;378.908;518.734;;;;;
IL;70352; Sellrain              ;5.072;4.979;4.582;4.689;3.794;4.564;3.985;3.627;4.450;3.849;5.180;5.303;6.047;7.659;6.885;7.325;6.822;6.541;7.267;8.305;8.385;74;9.789;11.443;;;;;
IL;70353; Sistrans              ;2.349;2.135;1.869;1.706;2.542;2.224;1.976;3.017;1.253;1.541;1.542;1.060;1.463;1.273;1.283;1.406;1.552;1.387;2.030;3.699;2.888;1.067;3.646;4.140;;;;;
IL;70354; Hall in Tirol         ;8.552;9.966;8.756;10.683;15.228;17.444;16.205;20.929;23.795;23.299;15.538;15.230;18.874;17.245;17.398;17.808;19.664;27.665;39.055;41.643;30.226;9.319;27.202;43.162;;;;;
IL;70355; Steinach/Brenner      ;39.178;38.280;39.695;38.285;36.774;41.814;36.023;44.263;49.045;48.485;44.984;39.356;41.183;41.636;35.123;35.818;39.688;34.579;35.855;38.617;33.680;1.397;27.379;42.518;;;;;
IL;70356; Telfes im Stubai      ;58.120;55.719;60.536;64.531;61.398;58.224;52.992;45.628;48.492;42.900;44.799;43.413;54.913;46.797;44.435;43.274;45.981;49.725;50.460;51.273;41.406;902;31.826;43.428;;;;;
IL;70357; Telfs                 ;103.070;114.082;119.014;113.240;107.838;117.427;111.809;109.914;92.236;98.398;92.474;91.504;94.257;98.225;98.349;102.648;105.081;107.525;107.650;116.445;107.125;5.462;69.226;102.878;;;;;
IL;70358; Thaur                 ;2.234;3.502;3.273;6.316;5.316;6.805;7.432;8.429;6.142;5.019;7.710;7.713;8.381;6.629;5.382;10.455;11.474;8.846;7.886;7.434;5.658;3.894;7.701;12.494;;;;;
IL;70359; Trins                 ;36.493;36.088;34.846;34.322;32.832;35.987;31.201;25.427;25.173;25.039;21.242;19.189;19.022;19.370;17.077;16.273;15.630;16.144;18.546;16.277;13.866;1.167;8.600;12.678;;;;;
IL;70360; Tulfes                ;29.687;35.374;32.791;32.310;34.027;36.081;33.178;33.319;42.004;28.705;24.711;21.828;29.096;26.119;27.941;27.132;26.909;23.487;23.093;22.702;25.746;2.660;14.276;20.697;;;;;
IL;70361; Unterperfuss          ;1.113;773;861;876;937;1.464;1.124;1.202;1.327;1.323;1.317;1.308;956;1.268;864;968;1.408;1.435;988;1.207;920;703;1.482;1.345;;;;;
IL;70362; Vals                  ;3.790;3.300;4.496;4.388;4.571;6.166;4.084;2.735;3.130;3.283;3.046;2.789;4.776;2.999;2.864;3.222;2.857;2.721;4.269;4.944;3.810;42;2.436;2.885;;;;;
IL;70364; Völs                  ;266;247;187;246;70;156;215;213;272;550;602;669;1.279;1.161;955;664;395;260;488;445;600;112;37;187;;;;;
IL;70365; Volders               ;1.937;2.039;2.162;2.834;2.374;3.809;3.036;3.959;3.459;3.503;2.716;2.172;4.077;3.338;3.162;3.617;3.052;3.810;5.327;3.903;4.687;658;3.785;6.481;;;;;
IL;70366; Wattenberg            ;3.891;3.530;3.902;1.579;869;1.848;2.474;2.535;4.417;3.277;3.262;2.638;4.247;6.938;5.937;5.083;4.909;3.789;6.561;7.166;7.630;3.254;5.811;6.886;;;;;
IL;70367; Wattens               ;7.653;6.954;6.995;7.983;7.781;7.552;10.052;8.062;6.782;7.550;7.107;4.281;10.199;9.758;10.660;11.616;11.179;11.724;11.531;11.527;10.012;2.674;6.689;11.097;;;;;
IL;70368; Wildermieming         ;14.894;16.044;16.035;18.148;18.600;17.130;14.132;13.622;14.523;14.890;14.408;14.143;14.638;13.221;12.892;14.171;14.847;14.611;14.398;14.363;13.070;703;12.950;15.085;;;;;
IL;70369; Zirl                  ;11.070;12.393;11.575;11.736;12.294;12.317;16.219;14.747;12.187;10.222;11.103;12.107;11.214;13.755;13.416;12.785;13.174;16.645;14.282;14.668;13.671;4.756;12.613;14.338;;;;;
IL;70370;Matrei am Brenner;29.623;31.101;33.905;32.521;30.416;31.832;29.949;29.653;30.617;29.126;26.803;24.292;25.592;23.936;22.901;24.423;24.618;22.052;24.317;28.526;19.005;5.063;14.408;25.946;;;;;
